Delivery_ID,Pickup_Latitude,Pickup_Longitude,Dropoff_Latitude,Dropoff_Longitude,Delivery_Distance_km,Package_Weight_kg,Delivery_Time_Est_min,Order_Value,Platform_Fees,Time_of_Day,Day_of_Week,Weather_Condition,Delivery_Type,Traffic_Index,Delivery_Location_Type,Discount_Applied,Surge_Multiplier,Fuel_Cost,Total_Delivery_Fee
1,34.15216,-134.681731,-47.667625,-108.62248,16.9,7.74,102,339.53,3.18,Night,Friday,Sunny,Standard,1.16,Remote,0.0,1.0,8.57,29.14
2,73.961044,-72.790336,62.0017005,82.297489,17.32,3.06,154,453.57,2.14,Night,Saturday,Windy,Express,0.88,Suburban,19.62,1.0,8.73,6.635999999999999
3,-14.987883,101.148032,-44.063356,-96.117223,14.81,5.74,146,67.81,4.25,Night,Thursday,Rainy,Standard,0.84,Urban,0.0,1.0,5.36,24.328
4,75.5661025,-10.538837,36.819004,169.080048,22.22,17.11,121,353.38,1.12,Evening,Tuesday,Snowy,Standard,1.14,Suburban,0.0,1.0,5.74,33.191
5,80.5321715,139.084985,-75.4983145,123.166294,32.78,0.19,78,329.11,0.56,Morning,Friday,Windy,Express,0.67,Urban,0.0,1.47,2.16,42.68733
6,-88.9863245,-154.259716,1.1864,39.938741,5.84,17.77,157,180.4,1.62,Evening,Friday,Windy,Standard,1.62,Urban,0.0,1.0,7.45,22.627
7,76.213255,152.496008,-89.5365925,41.199236,23.73,16.9,21,125.04,3.78,Morning,Tuesday,Sunny,Express,1.13,Suburban,13.83,1.0,6.6,23.984
8,85.803192,4.300151,43.4616045,71.705146,30.35,15.59,35,188.7,3.92,Afternoon,Friday,Snowy,Express,0.84,Remote,0.0,1.0,1.96,37.95500000000001
9,-63.333661,99.423132,61.783335,106.533798,23.97,4.56,68,285.85,0.52,Morning,Friday,Windy,Standard,0.71,Urban,0.0,1.0,4.39,26.366
10,15.8523975,-28.617151,42.9382885,-176.004423,9.62,6.3,192,297.67,1.77,Evening,Thursday,Snowy,Express,1.77,Remote,0.0,1.76,2.84,27.20256
11,-41.847161,-166.581499,-49.1410355,3.288415,37.5,2.5,144,368.04,2.86,Morning,Saturday,Rainy,Standard,1.82,Suburban,0.0,1.0,6.13,40.24
12,-62.400696,79.471542,-50.3920275,116.040353,42.12,19.48,209,27.89,2.6,Morning,Sunday,Cloudy,Express,0.93,Suburban,0.0,1.0,9.01,55.046
13,80.287202,-26.374035,-69.687633,13.730516,33.29,6.13,45,275.92,1.7,Morning,Saturday,Rainy,Standard,1.2,Urban,0.0,1.0,5.23,36.627
14,32.350235,-86.224013,22.3587175,-8.929167,22.9,16.9,78,355.67,4.03,Night,Friday,Sunny,Standard,1.81,Suburban,0.0,1.0,2.72,33.52
15,2.810198,117.645547,-17.1660085,145.723025,44.64,12.24,223,315.22,4.52,Night,Thursday,Cloudy,Express,1.72,Urban,17.88,1.0,6.59,35.06200000000001
16,-64.3578975,115.523689,-45.2748185,95.539332,36.51,16.83,191,275.44,4.5,Evening,Saturday,Snowy,Standard,1.92,Urban,16.3,1.0,7.79,33.613
17,-13.3806385,-4.281743,-42.6781835,-98.740619,2.16,18.44,220,235.11,1.82,Morning,Tuesday,Windy,Express,1.44,Remote,10.4,1.0,6.48,8.848
18,-31.02466,-120.660708,-41.3290735,45.011722,28.83,13.87,189,160.87,1.17,Morning,Wednesday,Rainy,Standard,1.54,Urban,0.0,1.55,7.11,59.33244999999999
19,20.5274385,2.87201,68.3062675,-19.375893,34.54,4.33,56,264.38,2.81,Night,Thursday,Cloudy,Express,0.82,Urban,0.0,1.0,6.23,38.837
20,45.6027765,-67.932614,8.9467875,-3.672967,36.08,0.23,128,483.54,4.76,Afternoon,Saturday,Sunny,Standard,0.55,Suburban,0.0,1.0,2.09,35.82899999999999
21,-2.6858615,31.279294,40.115868,64.231054,47.53,11.59,165,484.42,4.57,Evening,Monday,Cloudy,Standard,1.93,Remote,0.0,1.93,5.41,103.83207
22,15.865583,-52.451948,-16.4195855,-6.302742,25.32,4.76,173,159.07,4.63,Morning,Friday,Rainy,Standard,1.64,Urban,0.0,1.0,3.64,30.906
23,-44.828776,-131.606391,-54.195119,71.032591,42.58,6.9,77,464.91,2.14,Afternoon,Monday,Sunny,Standard,0.62,Urban,3.23,1.0,9.64,46.06400000000001
24,-32.967707,179.421366,-80.5639465,28.278038,18.16,12.41,94,429.79,3.0,Morning,Monday,Cloudy,Standard,1.62,Suburban,14.89,1.0,5.05,13.893
25,11.0864855,121.165002,-86.2949485,-165.961487,2.02,14.28,109,462.07,2.87,Night,Wednesday,Rainy,Express,0.93,Suburban,0.0,1.0,4.98,16.606
26,23.384328,156.549485,5.990449,-156.488597,40.88,13.65,58,242.26,3.97,Morning,Friday,Windy,Express,0.76,Remote,17.68,1.0,3.27,29.08900000000001
27,-79.1441815,-105.097677,45.7817065,25.416432,12.96,19.13,26,179.89,2.94,Morning,Sunday,Snowy,Standard,1.3,Suburban,0.0,1.0,8.95,31.823
28,-39.0358945,62.952956,-89.4841925,157.206052,48.02,17.29,140,63.83,2.69,Night,Saturday,Snowy,Express,1.04,Remote,0.0,1.0,4.05,53.801
29,-64.1857,-3.489604,-88.91307,-42.819502,22.95,6.99,57,443.33,4.1,Night,Wednesday,Sunny,Express,0.94,Remote,0.0,1.0,3.43,29.385
30,-63.1939885,-132.071676,-41.3073995,102.897312,43.06,8.59,116,451.41,0.79,Evening,Wednesday,Snowy,Express,1.2,Urban,0.0,1.0,1.11,40.643
31,-54.371146,81.707338,-8.513348,-45.377321,3.4,0.91,157,143.58,0.65,Night,Wednesday,Sunny,Express,0.84,Remote,0.0,1.0,7.02,10.845
32,80.9785485,176.960221,-72.245369,-179.099394,43.18,6.32,194,12.11,3.81,Morning,Wednesday,Snowy,Express,1.49,Urban,9.61,1.0,3.93,35.83400000000001
33,-2.6073865,-40.428351,30.051921,-29.712175,43.0,7.34,79,272.94,3.64,Night,Saturday,Sunny,Express,0.64,Urban,11.51,1.0,1.72,31.92
34,27.4227465,-7.59632,-11.0565185,-167.439544,6.15,16.13,173,394.12,4.83,Afternoon,Saturday,Windy,Express,1.57,Suburban,0.0,2.1,3.36,44.46749999999999
35,-79.40488,-29.131453,-64.913816,-156.982798,13.53,18.6,217,176.72,2.98,Morning,Friday,Windy,Standard,1.37,Urban,0.0,1.0,8.39,31.494
36,87.9707675,93.340295,-42.5025355,-50.231472,32.05,16.28,152,59.89,1.73,Night,Monday,Snowy,Express,1.01,Suburban,0.0,1.0,1.05,36.56
37,28.433571,-55.315277,-13.164011,114.537667,45.95,18.52,181,140.22,4.1,Morning,Thursday,Cloudy,Express,1.12,Remote,0.0,1.0,1.67,51.79000000000001
38,-59.7248955,29.454098,23.0805445,73.705537,26.92,12.67,154,441.01,4.81,Afternoon,Saturday,Sunny,Standard,0.79,Suburban,0.0,1.0,4.9,37.581
39,-77.135523,-176.522642,74.445154,29.287542,20.68,14.07,134,178.85,0.85,Afternoon,Friday,Sunny,Standard,0.88,Suburban,9.96,1.0,3.59,18.059
40,85.890736,141.431635,24.282062,8.644954,3.23,18.31,81,126.44,4.62,Evening,Friday,Snowy,Express,0.92,Urban,0.0,1.0,6.01,22.369
41,-77.0002615,-170.446693,67.147394,86.503985,2.67,7.01,232,319.99,3.31,Morning,Monday,Rainy,Standard,1.55,Remote,0.0,1.0,5.88,14.831
42,-89.3695955,-48.269818,-71.9182115,-31.957549,32.99,13.37,155,123.03,4.57,Afternoon,Thursday,Windy,Standard,1.12,Suburban,0.0,1.0,8.59,46.23700000000001
